FPI,SPI,AI,SFI,FFI,FPD,SPD,AD,SFD,FFD,API_X,API_Y,API_Z,APD_X,APD_Y,APD_Z,AFD_X,AFD_Y,AFD_Z,AFI_X,AFI_Y,AFI_Z
17.60000000000582,89.83750000002328,-113.08749999999418,98.58749999999418,411.76250000001164,-267.92499999998836,389.5375000000058,-84.01250000001164,478.1374999999971,-187.02500000002328,-0.7000000000000002,-0.012499999999999956,-0.6375000000000028,-0.8624999999999998,0.6375000000000002,-0.15000000000000568,0.075,0.1499999999999999,-0.2625000000000002,-0.0625,-0.8375,-0.1875
-41.39999999999418,-96.16249999997672,-53.08749999999418,-17.41250000000582,336.76250000001164,-482.92499999998836,467.5375000000058,2.9874999999883585,433.1374999999971,-294.0250000000233,-0.7000000000000002,-0.012499999999999956,0.36249999999999716,0.13750000000000018,0.6375000000000002,-0.15000000000000568,0.075,0.1499999999999999,0.7374999999999998,-0.0625,1.1625,0.8125
-93.39999999999418,-338.1624999999767,-77.08749999999418,92.58749999999418,293.76250000001164,-545.9249999999884,167.53750000000582,215.98749999998836,467.1374999999971,-683.0250000000233,-0.7000000000000002,-0.012499999999999956,0.36249999999999716,-0.8624999999999998,-0.3624999999999998,0.8499999999999943,0.075,0.1499999999999999,-0.2625000000000002,-1.0625,-0.8375,-0.1875
-291.3999999999942,-108.16249999997672,-273.0874999999942,156.58749999999418,202.76250000001164,-625.9249999999884,-402.4624999999942,-204.01250000001164,578.1374999999971,-812.0250000000233,-0.7000000000000002,-0.012499999999999956,0.36249999999999716,-0.8624999999999998,0.6375000000000002,-0.15000000000000568,0.075,0.1499999999999999,-0.2625000000000002,-0.0625,0.1625,-0.1875
-540.3999999999942,-327.1624999999767,-208.08749999999418,64.58749999999418,433.76250000001164,-794.9249999999884,-408.4624999999942,-88.01250000001164,570.1374999999971,-796.0250000000233,-0.7000000000000002,-0.012499999999999956,-0.6375000000000028,-0.8624999999999998,0.6375000000000002,-0.15000000000000568,0.075,-0.8500000000000001,-0.2625000000000002,-1.0625,0.1625,1.8125
-346.3999999999942,-562.1624999999767,34.91250000000582,-62.41250000000582,100.76250000001164,-553.9249999999884,-378.4624999999942,-81.01250000001164,230.1374999999971,-981.0250000000233,-0.7000000000000002,-1.0125,0.36249999999999716,-0.8624999999999998,-0.3624999999999998,-0.15000000000000568,-0.925,0.1499999999999999,-0.2625000000000002,-1.0625,-0.8375,2.8125
-197.39999999999418,-461.1624999999767,268.9125000000058,-66.41250000000582,16.76250000001164,-769.9249999999884,-209.46249999999418,-197.01250000001164,122.13749999999709,-1004.0250000000233,0.2999999999999998,-0.012499999999999956,-1.6375000000000028,-0.8624999999999998,-0.3624999999999998,-2.1500000000000057,0.075,-0.8500000000000001,-0.2625000000000002,-0.0625,-0.8375,1.8125
-140.39999999999418,-95.16249999997672,289.9125000000058,162.58749999999418,212.76250000001164,-621.9249999999884,-897.4624999999942,-346.01250000001164,185.1374999999971,-617.0250000000233,-0.7000000000000002,0.9875,-0.6375000000000028,-0.8624999999999998,-0.3624999999999998,-0.15000000000000568,0.075,-0.8500000000000001,-0.2625000000000002,0.9375,-0.8375,-0.1875
-269.3999999999942,106.83750000002328,-178.08749999999418,247.58749999999418,243.76250000001164,-509.92499999998836,-160.46249999999418,-132.01250000001164,211.1374999999971,-714.0250000000233,0.2999999999999998,-0.012499999999999956,-0.6375000000000028,0.13750000000000018,-0.3624999999999998,-0.15000000000000568,0.075,0.1499999999999999,-0.2625000000000002,-0.0625,0.1625,-0.1875
-189.39999999999418,-326.1624999999767,-155.08749999999418,176.58749999999418,-0.23749999998835847,-405.92499999998836,-1037.4624999999942,-178.01250000001164,255.1374999999971,-825.0250000000233,0.2999999999999998,-1.0125,0.36249999999999716,0.13750000000000018,-0.3624999999999998,-0.15000000000000568,-0.925,-0.8500000000000001,-0.2625000000000002,-0.0625,0.1625,-0.1875
-225.39999999999418,-113.16249999997672,-165.08749999999418,119.58749999999418,90.76250000001164,-164.92499999998836,-664.4624999999942,-247.01250000001164,304.1374999999971,-598.0250000000233,0.2999999999999998,-0.012499999999999956,0.36249999999999716,1.1375000000000002,-0.3624999999999998,0.8499999999999943,0.075,0.1499999999999999,-0.2625000000000002,-0.0625,0.1625,-0.1875
-400.3999999999942,-204.16249999997672,-188.08749999999418,204.58749999999418,92.76250000001164,-166.92499999998836,415.5375000000058,-201.01250000001164,235.1374999999971,-402.0250000000233,0.2999999999999998,-0.012499999999999956,0.36249999999999716,0.13750000000000018,-0.3624999999999998,-0.15000000000000568,0.075,0.1499999999999999,0.7374999999999998,0.9375,0.1625,0.8125
-403.3999999999942,-273.1624999999767,-212.08749999999418,256.5874999999942,-37.23749999998836,65.07500000001164,-59.46249999999418,-230.01250000001164,164.1374999999971,-171.02500000002328,0.2999999999999998,-0.012499999999999956,0.36249999999999716,0.13750000000000018,0.6375000000000002,-0.15000000000000568,0.075,0.1499999999999999,0.7374999999999998,-0.0625,1.1625,1.8125
-237.39999999999418,-322.1624999999767,-153.08749999999418,18.58749999999418,-71.23749999998836,80.07500000001164,118.53750000000582,-37.01250000001164,323.1374999999971,1.974999999976717,0.2999999999999998,-0.012499999999999956,0.36249999999999716,0.13750000000000018,-0.3624999999999998,-0.15000000000000568,0.075,0.1499999999999999,-0.2625000000000002,0.9375,0.1625,0.8125
-483.3999999999942,-201.16249999997672,-163.08749999999418,275.5874999999942,-26.23749999998836,153.07500000001164,61.53750000000582,8.987499999988358,518.1374999999971,-113.02500000002328,0.2999999999999998,-0.012499999999999956,0.36249999999999716,0.13750000000000018,-0.3624999999999998,-0.15000000000000568,0.075,0.1499999999999999,-0.2625000000000002,0.9375,0.1625,-0.1875
-422.3999999999942,-247.16249999997672,-54.08749999999418,262.5874999999942,-161.23749999998836,196.07500000001164,242.53750000000582,128.98749999998836,439.1374999999971,-122.02500000002328,0.2999999999999998,-0.012499999999999956,-0.6375000000000028,1.1375000000000002,1.6375000000000002,-1.1500000000000057,0.075,-0.8500000000000001,-0.2625000000000002,-0.0625,0.1625,-0.1875
-42.39999999999418,-275.1624999999767,30.91250000000582,247.58749999999418,-222.23749999998836,369.07500000001164,-253.46249999999418,10.987499999988358,329.1374999999971,-39.02500000002328,0.2999999999999998,0.9875,0.36249999999999716,1.1375000000000002,0.6375000000000002,-0.15000000000000568,0.075,0.1499999999999999,-0.2625000000000002,-0.0625,0.1625,-0.1875
-433.3999999999942,-431.1624999999767,134.91250000000582,290.5874999999942,-135.23749999998836,281.07500000001164,-88.46249999999418,-88.01250000001164,404.1374999999971,-275.0250000000233,0.2999999999999998,0.9875,1.3624999999999972,0.13750000000000018,0.6375000000000002,0.8499999999999943,0.075,0.1499999999999999,0.7374999999999998,0.9375,0.1625,-1.1875
