FPI,SPI,AI,SFI,FFI,FPD,SPD,AD,SFD,FFD,API_X,API_Y,API_Z,APD_X,APD_Y,APD_Z,AFD_X,AFD_Y,AFD_Z,AFI_X,AFI_Y,AFI_Z
155663.2375,-54.91249999997672,-3021.375,-384.6000000000058,-7578.224999999977,-16340.974999999977,-205.10000000000582,-2379.5625,471.8125,-60554.712499999994,0.6000000000000001,-0.275,-0.6124999999999972,0.4125000000000001,-0.3875000000000002,0.21250000000000568,-0.625,0.012500000000000178,0.7124999999999999,0.8125,1.1375,-0.025000000000005684
155614.2375,-71.91249999997672,-3034.375,-395.6000000000058,-7534.224999999977,-16172.974999999977,-788.1000000000058,-2157.5625,488.8125,-60771.712499999994,0.6000000000000001,-0.275,1.3875000000000028,0.4125000000000001,-0.3875000000000002,1.2125000000000057,-0.625,-0.9874999999999998,-0.2875000000000001,-0.1875,0.1375,0.9749999999999943
155553.2375,-101.91249999997672,-2895.375,-361.6000000000058,-7640.224999999977,-16397.974999999977,702.8999999999942,-2197.5625,636.8125,-60681.712499999994,-0.3999999999999999,-0.275,1.3875000000000028,0.4125000000000001,0.6124999999999998,0.21250000000000568,0.375,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,1.9749999999999943
155226.2375,200.08750000002328,-2788.375,-333.6000000000058,-7494.224999999977,-16302.974999999977,546.8999999999942,-2148.5625,899.8125,-60646.712499999994,0.6000000000000001,-0.275,1.3875000000000028,-0.5874999999999999,0.6124999999999998,0.21250000000000568,0.375,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,-0.025000000000005684
155198.2375,154.08750000002328,-2729.375,-270.6000000000058,-7744.224999999977,-16527.974999999977,370.8999999999942,-2212.5625,776.8125,-60921.712499999994,-0.3999999999999999,-0.275,0.38750000000000284,-0.5874999999999999,0.6124999999999998,0.21250000000000568,0.375,0.012500000000000178,0.7124999999999999,-0.1875,0.1375,-1.0250000000000057
155352.2375,-341.9124999999767,-2738.375,-339.6000000000058,-7902.224999999977,-16624.974999999977,417.8999999999942,-2281.5625,678.8125,-60975.712499999994,-0.3999999999999999,0.725,0.38750000000000284,0.4125000000000001,0.6124999999999998,1.2125000000000057,0.375,-0.9874999999999998,-0.2875000000000001,-0.1875,0.1375,-0.025000000000005684
155285.2375,-286.9124999999767,-2892.375,-339.6000000000058,-7693.224999999977,-16572.974999999977,129.89999999999418,-2334.5625,688.8125,-61065.712499999994,-0.3999999999999999,0.725,-0.6124999999999972,0.4125000000000001,-0.3875000000000002,1.2125000000000057,0.375,0.012500000000000178,0.7124999999999999,-1.1875,0.1375,-0.025000000000005684
155142.2375,177.08750000002328,-2710.375,-213.60000000000582,-7713.224999999977,-16628.974999999977,291.8999999999942,-2410.5625,701.8125,-60666.712499999994,-1.4,0.725,-0.6124999999999972,0.4125000000000001,-0.3875000000000002,0.21250000000000568,0.375,1.0125000000000002,-0.2875000000000001,-0.1875,-0.8625,-0.025000000000005684
155523.2375,109.08750000002328,-2788.375,-150.60000000000582,-7773.224999999977,-16613.974999999977,14.89999999999418,-2302.5625,516.8125,-61027.712499999994,-0.3999999999999999,-0.275,0.38750000000000284,-0.5874999999999999,-0.3875000000000002,0.21250000000000568,-0.625,0.012500000000000178,0.7124999999999999,-0.1875,0.1375,0.9749999999999943
155414.2375,15.087500000023283,-2837.375,-305.6000000000058,-7639.224999999977,-16342.974999999977,-852.1000000000058,-2270.5625,619.8125,-60916.712499999994,0.6000000000000001,-0.275,0.38750000000000284,0.4125000000000001,-0.3875000000000002,0.21250000000000568,0.375,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,0.9749999999999943
155107.2375,236.08750000002328,-2788.375,-321.6000000000058,-7710.224999999977,-16353.974999999977,205.89999999999418,-2362.5625,561.8125,-60813.712499999994,-0.3999999999999999,-1.275,0.38750000000000284,-0.5874999999999999,0.6124999999999998,-1.7874999999999943,-0.625,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,-0.025000000000005684
155149.2375,176.08750000002328,-2839.375,-192.60000000000582,-7593.224999999977,-16304.974999999977,82.89999999999418,-2289.5625,455.8125,-61123.712499999994,0.6000000000000001,-0.275,-0.6124999999999972,1.4125,0.6124999999999998,-0.7874999999999943,-0.625,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,0.9749999999999943
155382.2375,-126.91249999997672,-2979.375,-398.6000000000058,-7566.224999999977,-16210.974999999977,-394.1000000000058,-2471.5625,479.8125,-60763.712499999994,-0.3999999999999999,0.725,0.38750000000000284,0.4125000000000001,0.6124999999999998,0.21250000000000568,0.375,0.012500000000000178,-0.2875000000000001,0.8125,0.1375,0.9749999999999943
155374.2375,-100.91249999997672,-2915.375,-425.6000000000058,-7642.224999999977,-16328.974999999977,-37.10000000000582,-2424.5625,493.8125,-60733.712499999994,-0.3999999999999999,-0.275,0.38750000000000284,0.4125000000000001,0.6124999999999998,1.2125000000000057,0.375,-0.9874999999999998,0.7124999999999999,-0.1875,2.1375,-1.0250000000000057
155450.2375,356.0875000000233,-2726.375,-351.6000000000058,-7309.224999999977,-16295.974999999977,13.89999999999418,-2424.5625,376.8125,-60812.712499999994,-0.3999999999999999,0.725,-0.6124999999999972,0.4125000000000001,-0.3875000000000002,1.2125000000000057,0.375,-0.9874999999999998,0.7124999999999999,-0.1875,1.1375,-1.0250000000000057
155589.2375,-275.9124999999767,-2760.375,-221.60000000000582,-7296.224999999977,-16246.974999999977,38.89999999999418,-2656.5625,-62.1875,-60749.712499999994,0.6000000000000001,-0.275,1.3875000000000028,0.4125000000000001,-0.3875000000000002,1.2125000000000057,0.375,0.012500000000000178,1.7125,-0.1875,0.1375,-0.025000000000005684
155188.2375,90.08750000002328,-2720.375,-267.6000000000058,-6945.224999999977,-16262.974999999977,-213.10000000000582,-2502.5625,106.8125,-60058.712499999994,-0.3999999999999999,-0.275,1.3875000000000028,0.4125000000000001,-0.3875000000000002,0.21250000000000568,-0.625,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,-0.025000000000005684
155190.2375,603.0875000000233,-2826.375,-281.6000000000058,-7490.224999999977,-16268.974999999977,-1007.1000000000058,-2565.5625,245.8125,-60438.712499999994,-0.3999999999999999,-0.275,0.38750000000000284,0.4125000000000001,-1.3875000000000002,-1.7874999999999943,-0.625,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,-1.0250000000000057
155380.2375,153.08750000002328,-2920.375,-417.6000000000058,-7799.224999999977,-16137.974999999977,394.8999999999942,-2352.5625,434.8125,-60626.712499999994,0.6000000000000001,-0.275,-1.6124999999999972,0.4125000000000001,-0.3875000000000002,-0.7874999999999943,-0.625,-0.9874999999999998,0.7124999999999999,-0.1875,0.1375,-0.025000000000005684
155583.2375,-363.9124999999767,-2947.375,-472.6000000000058,-7678.224999999977,-16091.974999999977,613.8999999999942,-2382.5625,403.8125,-60413.712499999994,-0.3999999999999999,0.725,-0.6124999999999972,1.4125,0.6124999999999998,0.21250000000000568,0.375,-0.9874999999999998,0.7124999999999999,-0.1875,0.1375,-0.025000000000005684
155346.2375,-200.91249999997672,-2935.375,-439.6000000000058,-7523.224999999977,-16171.974999999977,339.8999999999942,-2498.5625,494.8125,-60632.712499999994,0.6000000000000001,0.725,0.38750000000000284,0.4125000000000001,-0.3875000000000002,0.21250000000000568,0.375,0.012500000000000178,0.7124999999999999,-0.1875,1.1375,0.9749999999999943
155374.2375,73.08750000002328,-3023.375,-729.6000000000058,-7820.224999999977,-16048.974999999977,658.8999999999942,-2343.5625,471.8125,-60763.712499999994,0.6000000000000001,-0.275,0.38750000000000284,1.4125,-0.3875000000000002,1.2125000000000057,0.375,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,-0.025000000000005684
155308.2375,20.087500000023283,-2780.375,-635.6000000000058,-7860.224999999977,-15845.974999999977,759.8999999999942,-2253.5625,655.8125,-60594.712499999994,0.6000000000000001,-0.275,0.38750000000000284,0.4125000000000001,-0.3875000000000002,0.21250000000000568,-0.625,0.012500000000000178,-0.2875000000000001,-0.1875,-0.8625,0.9749999999999943
155323.2375,146.08750000002328,-2783.375,-478.6000000000058,-7749.224999999977,-15931.974999999977,342.8999999999942,-2342.5625,865.8125,-60424.712499999994,-0.3999999999999999,-0.275,-0.6124999999999972,1.4125,-0.3875000000000002,0.21250000000000568,-0.625,0.012500000000000178,-0.2875000000000001,-0.1875,-0.8625,0.9749999999999943
155407.2375,47.08750000002328,-2915.375,-86.60000000000582,-7626.224999999977,-16095.974999999977,307.8999999999942,-2496.5625,1124.8125,-60512.712499999994,-0.3999999999999999,-0.275,0.38750000000000284,0.4125000000000001,-0.3875000000000002,-0.7874999999999943,0.375,0.012500000000000178,-0.2875000000000001,-0.1875,0.1375,-0.025000000000005684
155202.2375,-70.91249999997672,-2738.375,-117.60000000000582,-7498.224999999977,-16252.974999999977,1101.8999999999942,-2120.5625,1259.8125,-60694.712499999994,-0.3999999999999999,0.725,0.38750000000000284,0.4125000000000001,0.6124999999999998,-0.7874999999999943,-0.625,0.012500000000000178,0.7124999999999999,-1.1875,0.1375,-1.0250000000000057
155142.2375,28.087500000023283,-2846.375,-209.60000000000582,-7804.224999999977,-16168.974999999977,731.8999999999942,-2251.5625,1210.8125,-60738.712499999994,-0.3999999999999999,-0.275,-0.6124999999999972,0.4125000000000001,0.6124999999999998,0.21250000000000568,0.375,0.012500000000000178,0.7124999999999999,0.8125,0.1375,-1.0250000000000057
155261.2375,-173.91249999997672,-137757.375,-273.6000000000058,-7833.224999999977,-16161.974999999977,196.89999999999418,-2335.5625,965.8125,-60664.712499999994,-0.3999999999999999,0.725,0.38750000000000284,0.4125000000000001,0.6124999999999998,1.2125000000000057,0.375,0.012500000000000178,0.7124999999999999,-1.1875,1.1375,0.9749999999999943
