FPI,SPI,AI,SFI,FFI,FPD,SPD,AD,SFD,FFD,API_X,API_Y,API_Z,APD_X,APD_Y,APD_Z,AFD_X,AFD_Y,AFD_Z,AFI_X,AFI_Y,AFI_Z
155946.55,387.6624999999767,-28424.5625,-169.82500000001164,-5324.174999999988,-45964.25,667.6875,-2129.8125,-185.47499999999854,-45403.04999999999,-0.3624999999999998,-0.19999999999999996,-0.42499999999999716,0.4375,-0.34999999999999964,0.38749999999998863,0.1625,-0.8875000000000002,-0.4249999999999998,0.7875000000000001,0.2375,1.0
156146.55,212.66249999997672,-28530.5625,-121.82500000001164,-5027.174999999988,-45788.25,767.6875,-2401.8125,-196.47499999999854,-45328.04999999999,0.6375000000000002,-0.19999999999999996,0.5750000000000028,0.4375,0.6500000000000004,-0.6125000000000114,0.1625,0.11249999999999982,-0.4249999999999998,0.7875000000000001,0.2375,1.0
156140.55,305.6624999999767,-28409.5625,-152.82500000001164,-5329.174999999988,-46092.25,212.6875,-2242.8125,-350.47499999999854,-45262.04999999999,0.6375000000000002,0.8,-0.42499999999999716,0.4375,-0.34999999999999964,0.38749999999998863,0.1625,-0.8875000000000002,-0.4249999999999998,-0.2124999999999999,-0.7625,-1.0
155897.55,280.6624999999767,-28421.5625,-129.82500000001164,-5278.174999999988,-46232.25,1.6875,-2174.8125,-164.47499999999854,-45490.04999999999,-0.3624999999999998,0.8,0.5750000000000028,-0.5625,0.6500000000000004,0.38749999999998863,-0.8375,1.1124999999999998,-0.4249999999999998,-0.2124999999999999,0.2375,0.0
155743.55,-5.337500000023283,-28497.5625,-159.82500000001164,-5440.174999999988,-46258.25,-10.3125,-2148.8125,-270.47499999999854,-45511.04999999999,-0.3624999999999998,-0.19999999999999996,-0.42499999999999716,0.4375,-0.34999999999999964,0.38749999999998863,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,0.0
155638.55,-47.33750000002328,-28528.5625,-169.82500000001164,-5455.174999999988,-46317.25,1276.6875,-2156.8125,-211.47499999999854,-45437.04999999999,-0.3624999999999998,0.8,0.5750000000000028,0.4375,-0.34999999999999964,0.38749999999998863,0.1625,-0.8875000000000002,-0.4249999999999998,-0.2124999999999999,0.2375,1.0
155717.55,269.6624999999767,-28478.5625,86.17499999998836,-5177.174999999988,-46334.25,1303.6875,-2127.8125,-400.47499999999854,-45752.04999999999,0.6375000000000002,-0.19999999999999996,-2.424999999999997,0.4375,-0.34999999999999964,0.38749999999998863,-0.8375,0.11249999999999982,-0.4249999999999998,0.7875000000000001,0.2375,-1.0
155945.55,132.66249999997672,-28517.5625,148.17499999998836,-5043.174999999988,-46286.25,19.6875,-2383.8125,-485.47499999999854,-46075.04999999999,-0.3624999999999998,-0.19999999999999996,0.5750000000000028,0.4375,0.6500000000000004,-0.6125000000000114,0.1625,0.11249999999999982,0.5750000000000002,-0.2124999999999999,0.2375,-1.0
155949.55,-222.33750000002328,-28520.5625,-3.8250000000116415,-4994.174999999988,-46382.25,-279.3125,-2231.8125,-396.47499999999854,-45944.04999999999,0.6375000000000002,-0.19999999999999996,-0.42499999999999716,-0.5625,-0.34999999999999964,0.38749999999998863,0.1625,0.11249999999999982,-0.4249999999999998,-0.2124999999999999,0.2375,0.0
155937.55,-119.33750000002328,-28602.5625,198.17499999998836,-5101.174999999988,-46554.25,1163.6875,-1978.8125,-442.47499999999854,-45852.04999999999,-0.3624999999999998,-0.19999999999999996,-0.42499999999999716,0.4375,0.6500000000000004,0.38749999999998863,0.1625,-0.8875000000000002,0.5750000000000002,0.7875000000000001,0.2375,-1.0
